Date,P/L,Amt,color,Returns in %,Calculated Consec. Returns in %,Calculated Consec. Returns in Decimal
2015-02-03,22620.51,422620.51,green,0.056551275,5.66%,0.056551275
2015-02-04,38760.57,461381.08,green,0.096901425,15.35%,0.1534527
2015-02-05,1922.632,463303.712,green,0.00480658,15.83%,0.15825928
2015-02-06,15473.67,478777.382,green,0.038684175,19.69%,0.196943455
2015-02-09,-2300.0,476477.382,red,-0.00575,19.12%,0.19119345499999998
2015-02-10,14436.14,490913.522,green,0.03609035,22.73%,0.227283805
2015-02-11,9344.345,500257.867,green,0.0233608625,25.06%,0.2506446675
2015-02-12,-6900.0,493357.867,red,-0.01725,23.34%,0.23339466749999999
2015-02-13,-9200.0,484157.867,red,-0.023,21.04%,0.2103946675
2015-02-16,2659.384,486817.251,green,0.00664846,21.70%,0.2170431275
2015-02-18,-6066.45,480750.801,red,-0.015166125,20.19%,0.20187700249999999
2015-02-19,-4016.32,476734.481,red,-0.0100408,19.18%,0.1918362025
2015-02-20,5100.296,481834.777,green,0.01275074,20.46%,0.2045869425
2015-02-23,21403.14,503237.917,green,0.05350785,25.81%,0.2580947925
2015-02-25,8354.395,511592.312,green,0.0208859875,27.90%,0.27898078
2015-02-27,-9200.0,502392.312,red,-0.023,25.60%,0.25598078
2015-03-02,-6585.61,495806.702,red,-0.016464025,-1.65%,-0.016464025
2015-03-03,-602.053,495204.649,red,-0.0015051325,-1.80%,-0.0179691575
2015-03-04,-9200.0,486004.649,red,-0.023,-4.10%,-0.0409691575
2015-03-05,-4600.0,481404.649,red,-0.0115,-5.25%,-0.0524691575
2015-03-09,-2300.0,479104.649,red,-0.00575,-5.82%,-0.0582191575
2015-03-10,17906.56,497011.209,green,0.0447664,-1.35%,-0.013452757500000002
2015-03-11,-1343.53,495667.679,red,-0.003358825,-1.68%,-0.0168115825
2015-03-12,-7636.75,488030.929,red,-0.019091875,-3.59%,-0.0359034575
2015-03-13,50224.68,538255.609,green,0.1255617,8.97%,0.0896582425
2015-03-16,-9200.0,529055.609,red,-0.023,6.67%,0.06665824249999999
2015-03-17,-6900.0,522155.609,red,-0.01725,4.94%,0.0494082425
2015-03-18,5396.644,527552.253,green,0.01349161,6.29%,0.06289985249999999
2015-03-19,18564.83,546117.083,green,0.046412075,10.93%,0.10931192749999999
2015-03-20,16725.28,562842.363,green,0.0418132,15.11%,0.1511251275
2015-03-23,-4600.0,558242.363,red,-0.0115,13.96%,0.1396251275
2015-03-24,1034.752,559277.115,green,0.00258688,14.22%,0.1422120075
2015-03-25,9696.532,568973.647,green,0.02424133,16.65%,0.1664533375
2015-03-27,18122.38,587096.027,green,0.04530595,21.18%,0.2117592875
2015-03-30,-6900.0,580196.027,red,-0.01725,19.45%,0.1945092875
2015-03-31,35127.81,615323.837,green,0.087819525,28.23%,0.28232881249999997
2015-04-01,-2300.0,613023.837,red,-0.00575,-0.57%,-0.00575
2015-04-06,8781.254,621805.091,green,0.021953135,1.62%,0.016203135
2015-04-07,8319.529,630124.62,green,0.0207988225,3.70%,0.0370019575
2015-04-08,-654.362,629470.258,red,-0.001635905,3.54%,0.0353660525
2015-04-09,-6900.0,622570.258,red,-0.01725,1.81%,0.0181160525
2015-04-10,9252.302,631822.56,green,0.023130755,4.12%,0.041246807499999996
2015-04-13,17448.9,649271.46,green,0.04362225,8.49%,0.0848690575
2015-04-15,13173.76,662445.22,green,0.0329344,11.78%,0.1178034575
2015-04-16,12142.32,674587.54,green,0.0303558,14.82%,0.1481592575
2015-04-17,-2300.0,672287.54,red,-0.00575,14.24%,0.1424092575
2015-04-20,-4600.0,667687.54,red,-0.0115,13.09%,0.1309092575
2015-04-21,12154.74,679842.28,green,0.03038685,16.13%,0.1612961075
2015-04-22,-6900.0,672942.28,red,-0.01725,14.40%,0.1440461075
2015-04-23,25766.9,698709.18,green,0.06441725,20.85%,0.2084633575
2015-04-24,10434.61,709143.79,green,0.026086525,23.45%,0.2345498825
2015-04-27,-2300.0,706843.79,red,-0.00575,22.88%,0.2287998825
2015-04-29,-1773.18,705070.61,red,-0.00443295,22.44%,0.2243669325
2015-04-30,-4600.0,700470.61,red,-0.0115,21.29%,0.2128669325
