Date,Stock,Gap_up,Time,EMA,P/L,Quantity,Margin
02-01-2023,TATACOMM,0.026325,9:20:00,1296.299,-1138.12,73.90397,19231.29
02-01-2023,ASHOKLEY,0.021967,9:20:00,144.8756,-2200,823.2558,23956.74
02-01-2023,BRITANNIA,0.016831,9:20:00,4334.486,4492.772,95.93496,83282.1
02-01-2023,TATASTEEL,0.015535,9:30:00,115.5484,-2200,2950,68676
03-01-2023,IRCTC,0.010275,9:20:00,646.2518,551.7414,297.479,38452.13
05-01-2023,M&MFIN,0.012174,9:20:00,236.0763,-2200,842.8571,39900.86
05-01-2023,INDIGO,0.010409,9:20:00,2013.127,-2200,193.4426,78183.7
05-01-2023,HINDPETRO,0.011203,9:30:00,244.6757,186.3533,753.1915,37132.34
05-01-2023,BHARTIAIRTL,0.01626,9:35:00,816.1813,8783.717,885,144609
09-01-2023,HINDCOPPER,0.018119,9:20:00,117.8519,-2200,1863.158,44492.21
09-01-2023,AUBANK,0.014701,9:20:00,629.1269,-2200,513.0435,64674.26
09-01-2023,HINDALCO,0.018048,9:25:00,469.2913,-2200,863.4146,81359.56
09-01-2023,GUJGASLTD,0.014448,9:30:00,486.7357,-2200,823.2558,80341.53
10-01-2023,HINDALCO,0.015401,9:35:00,477.0288,-74.4141,804.5455,76866.27
17-01-2023,SIEMENS,0.029113,9:20:00,2977.841,1279.313,33.74643,20155.39
17-01-2023,FEDERALBNK,0.015681,9:20:00,140.8368,-2200,2212.5,62414.63
20-01-2023,VEDL,0.020556,9:20:00,334.4929,3550.636,786.6667,52879.73
20-01-2023,PVR,0.019131,9:20:00,1682.874,11353.41,152.5862,51523.78
20-01-2023,COFORGE,0.018769,9:25:00,4086.195,-2200,42.39521,34917.54
23-01-2023,KOTAKBANK,0.015372,9:20:00,1770.485,-2200,141.0359,50005.67
23-01-2023,BANDHANBNK,0.024668,9:35:00,245.9066,-2200,1770,87721.2
23-01-2023,CANFINHOME,0.017079,9:40:00,537.9504,-2200,333.9623,36224.89
25-01-2023,TVSMOTOR,0.011333,9:20:00,995.807,-2200,221.25,44427
27-01-2023,AMARAJABAT,0.047539,9:20:00,574.3187,-416.471,208.2353,24072
27-01-2023,BAJAJ-AUTO,0.03567,9:20:00,3845.83,-2200,31.52271,24768.65
27-01-2023,DRREDDY,0.018817,9:20:00,4265.919,-2200,33.14607,28449.93
27-01-2023,TATAMOTORS,0.045221,9:25:00,438.7381,613.1828,287.8049,25741.27
30-01-2023,AMBUJACEM,0.051387,9:35:00,412.4635,50000,inf,inf
30-01-2023,ADANIPORTS,0.038613,9:35:00,642.8011,14000,inf,inf
30-01-2023,ADANIENT,0.032066,9:35:00,2983.28,900,inf,inf
30-01-2023,ACC,0.021412,9:35:00,2023.674,7000,inf,inf
31-01-2023,ADANIENT,0.030126,9:20:00,2914.297,-2200,57.65472,33892.91
31-01-2023,BPCL,0.023426,9:20:00,342.4351,1513.117,442.5,30731.63
31-01-2023,SRF,0.02259,9:20:00,2194.842,2772.181,102.6087,45419.74
01-02-2023,POWERGRID,0.038541,9:20:00,218.9249,3117.779,983.3333,43227.33
01-02-2023,SHRIRAMFIN,0.032178,9:25:00,1331.879,4240.289,85.50725,22985.2
01-02-2023,INDHOTEL,0.056478,9:30:00,311.7136,-2200,1041.176,65354.65
01-02-2023,CHOLAFIN,0.034161,9:30:00,757.6312,5461.974,300,46104
03-02-2023,BANKBARODA,0.01915,9:20:00,156.2042,-2200,1863.158,58670.84
03-02-2023,ABCAPITAL,0.025271,9:25:00,140.7492,-340.385,1361.538,38531.54
03-02-2023,BAJAJFINSV,0.026024,9:30:00,1292.347,-2200,272.3077,70527.69
03-02-2023,INDUSINDBK,0.031694,9:35:00,1113.704,3924.516,354,79090.68
06-02-2023,M&MFIN,0.038588,9:20:00,255.3822,-2200,384.7826,20112.59
06-02-2023,INDUSTOWER,0.078663,9:25:00,156.6787,-26.0294,520.5882,16815
07-02-2023,AMBUJACEM,0.012508,9:30:00,381.4877,-2200,863.4146,66051.22
08-02-2023,DALBHARAT,0.013276,9:20:00,1873.803,-2200,140.4762,52998.86
08-02-2023,AMBUJACEM,0.024997,9:30:00,392.6068,4213.302,478.3784,37677.08
08-02-2023,ADANIPORTS,0.019615,9:35:00,585.2324,-2200,280.9524,33132.71
08-02-2023,ADANIENT,0.037106,9:40:00,1964.875,-2200,29.2562,11604.18
09-02-2023,OBEROIRLTY,0.051251,9:25:00,854.2837,5253.004,361.2245,62130.61
09-02-2023,TRENT,0.043647,9:35:00,1295.361,-2200,229.8701,59950.13
09-02-2023,CUMMINSIND,0.044564,9:40:00,1594.849,2950.434,126.4286,40530.47
10-02-2023,AUROPHARMA,0.01372,9:20:00,448.2545,-2200,231.3725,20814.27
13-02-2023,SIEMENS,0.01094,9:20:00,3135.756,-2200,186.3158,116875.9
13-02-2023,GLENMARK,0.035714,9:40:00,417.3476,-2200,544.6154,45611.54
14-02-2023,INFY,0.011005,9:20:00,1578.799,-2200,484.9315,153844.5
15-02-2023,PIIND,0.025489,9:25:00,3175.817,14841.14,136.1538,87955.38
16-02-2023,ADANIENT,0.022989,9:35:00,1831.542,3113.803,66.66667,24547.33
16-02-2023,AMBUJACEM,0.020444,9:35:00,351.2222,3868.41,804.5455,56656.09
16-02-2023,ADANIPORTS,0.019243,9:35:00,582.4715,2652.355,327.7778,38343.44
20-02-2023,SHRIRAMFIN,0.020015,9:20:00,1240.909,-2200,318.9189,79439.51
21-02-2023,MARICO,0.011553,9:20:00,491.1662,-2200,1141.935,112366.5
23-02-2023,GUJGASLTD,0.014621,9:20:00,507.2666,1438.915,340.3846,34610.31
23-02-2023,HCLTECH,0.011166,9:20:00,1100.287,-2200,372.6316,82243.52
24-02-2023,ADANIENT,0.019781,9:20:00,1395.361,12146.05,155.2632,43368.11
24-02-2023,BHARTIAIRTL,0.016711,9:20:00,766.6181,5423.264,528.3582,81155.82
24-02-2023,DLF,0.011957,9:20:00,346.5942,1630.429,708,49347.6
24-02-2023,HDFCAMC,0.011519,9:25:00,1818.604,432.6966,63.32737,23089.16
01-03-2023,ADANIENT,0.044103,9:25:00,1421.284,-2200,107.5988,30909.9
01-03-2023,ICICIBANK,0.010704,9:25:00,856.2171,-2200,863.4146,147946.1
02-03-2023,BAJAJFINSV,0.023142,9:20:00,1360.983,3729.85,158.7444,43434.05
03-03-2023,ADANIPORTS,0.064376,9:20:00,646.521,-2200,137.2093,18114.37
03-03-2023,ADANIENT,0.05077,9:20:00,1683.105,-2200,91.00257,31596.09
03-03-2023,AMBUJACEM,0.032371,9:20:00,375.5714,-2200,536.3636,40624.18
03-03-2023,ACC,0.027008,9:20:00,1831.634,-2200,138.8235,51522.96
06-03-2023,ADANIENT,0.046395,9:20:00,1962.196,-2200,66.16822,26774.97
06-03-2023,AMBUJACEM,0.015184,9:20:00,395.0332,-2200,437.037,34639.56
06-03-2023,MGL,0.014445,9:30:00,952.5681,-2200,169.378,32573.08
06-03-2023,LTTS,0.013663,9:30:00,3806.455,10503.97,119.1919,90848.08
08-03-2023,ZEEL,0.013818,9:20:00,197.9359,1131.351,643.6364,25552.36
08-03-2023,ADANIENT,0.028796,9:35:00,2006.824,-2200,99.4382,39958.25
08-03-2023,ADANIPORTS,0.013391,9:35:00,692.9824,-2200,804.5455,111558.3
09-03-2023,BHARTIAIRTL,0.037114,9:25:00,771.2391,-2200,769.5652,118805.5
09-03-2023,TATASTEEL,0.012676,9:30:00,108.2814,-2200,5900,128089
09-03-2023,BHARATFORG,0.011323,9:35:00,837.0446,15974.62,1361.538,227976
13-03-2023,AMBUJACEM,0.012026,9:20:00,382.0257,9010.352,580.3279,44511.15
13-03-2023,ADANIENT,0.010969,9:20:00,1933.72,6175.469,86.55257,33823.88
13-03-2023,TECHM,0.060071,9:25:00,1125.877,-2200,402.2727,92522.73
15-03-2023,MARUTI,0.016194,9:20:00,8601.475,5727.342,34.23598,59241.59
15-03-2023,INTELLECT,0.015987,9:25:00,408.3394,10122.34,983.3333,80613.67
15-03-2023,PVR,0.015905,9:25:00,1549.622,-2200,125.5319,39012.81
15-03-2023,AMARAJABAT,0.019432,9:35:00,578.4461,7417.289,1416,163902
16-03-2023,BERGEPAINT,0.011588,9:20:00,592.8599,-2200,804.5455,95459.32
16-03-2023,BPCL,0.014229,9:25:00,339.979,-2200,769.5652,52961.48
16-03-2023,HINDPETRO,0.011504,9:30:00,237.6612,-2200,1011.429,48245.14
17-03-2023,HAL,0.03939,9:25:00,2796.039,-2200,118,66504.8
17-03-2023,ADANIENT,0.031023,9:25:00,1872.435,887.0445,122.9167,46172.42
17-03-2023,VOLTAS,0.024133,9:25:00,888.1758,-2200,354,63012
17-03-2023,BHARATFORG,0.023399,9:25:00,808.2956,6407.716,442.5,72127.5
20-03-2023,HINDPETRO,0.020202,9:25:00,244.8171,-2200,1311.111,64336.22
20-03-2023,SHRIRAMFIN,0.023194,9:40:00,1247.584,15807.47,536.3636,133940.7
21-03-2023,IGL,0.017217,9:20:00,434.3654,-965.455,459.7403,40328.42
21-03-2023,INDIGO,0.014641,9:20:00,1872.171,-2200,120.8191,45331.33
21-03-2023,ADANIENT,0.017729,9:30:00,1823.667,-2200,330.8411,120806.6
22-03-2023,MFSL,0.024138,9:20:00,646.9432,618.9631,121.2329,15891.21
22-03-2023,PERSISTENT,0.013057,9:25:00,4530.825,6816.668,125.0883,113784.1
22-03-2023,COFORGE,0.012767,9:25:00,3753.199,3243.305,149.3671,112413.7
22-03-2023,SBILIFE,0.01986,9:30:00,1119.058,6106.193,621.0526,139612.6
24-03-2023,VEDL,0.028571,9:20:00,273.0992,2267.556,680.7692,37238.08
24-03-2023,LTIM,0.010018,9:20:00,4643.116,-2200,52.52226,49016.92
31-03-2023,ADANIENT,0.02735,9:20:00,1769.815,1003.727,51.08225,18169.96
31-03-2023,TCS,0.016264,9:20:00,3159.369,-2200,187.3016,118751.1
31-03-2023,FSL,0.021012,9:40:00,105.9901,3247.145,5900,125316
03-04-2023,TATAPOWER,0.016294,9:20:00,192.2442,-2200,1609.091,62207.45
03-04-2023,EICHERMOT,0.034302,9:25:00,3002.626,524.2976,128.7273,77599.37
03-04-2023,ONGC,0.02284,9:25:00,155.2283,5423.501,1770,55507.2
03-04-2023,OFSS,0.020283,9:25:00,3283.107,-2200,239.1892,157147.3
05-04-2023,M&MFIN,0.015966,9:20:00,239.8094,-2200,842.8571,40667.86
05-04-2023,ONGC,0.020176,9:25:00,155.7799,15389.56,4425,138369.7
05-04-2023,MUTHOOTFIN,0.014064,9:35:00,985.7647,-2200,590,116371.6
06-04-2023,IGL,0.018936,9:20:00,445.1298,-2200,1180,105256
06-04-2023,CHOLAFIN,0.01578,9:35:00,815.315,-2200,380.6452,62422
10-04-2023,BALRAMCHIN,0.020408,9:20:00,414.9165,1819.946,680.7692,56640
10-04-2023,GODREJPROP,0.039677,9:25:00,1175.378,-2200,138.2813,32944.13
10-04-2023,TATAMOTORS,0.032903,9:25:00,459.6596,-2200,453.8462,42529.92
11-04-2023,VEDL,0.011486,9:25:00,271.6801,-1376.67,1966.667,107006.3
11-04-2023,KOTAKBANK,0.049963,9:30:00,1823.031,-2200,232.8947,85546.89
11-04-2023,BANKBARODA,0.040915,9:35:00,171.3651,4520.181,4425,152308.5
11-04-2023,CANBK,0.01306,9:35:00,289.8543,6779.824,2212.5,128944.5
12-04-2023,BALRAMCHIN,0.012401,9:35:00,424.1373,15436.48,1220.69,103770.8
13-04-2023,CUB,0.014901,9:20:00,125.4033,-2200,1609.091,40452.55
13-04-2023,AUBANK,0.085926,9:40:00,653.1732,-2200,inf,inf
17-04-2023,MARUTI,0.020667,9:20:00,8695.013,2089.398,57.18901,99643.28
17-04-2023,AXISBANK,0.02042,9:25:00,869.911,1472.737,285.4839,49682.76
20-04-2023,CONCOR,0.029279,9:20:00,609.7247,-2200,330.8411,40604.13
21-04-2023,BALRAMCHIN,0.013682,9:20:00,418.0473,960.9192,561.9048,46980.86
21-04-2023,HCLTECH,0.015904,9:30:00,1052.979,1047.758,225.4777,47578.05
24-04-2023,HDFCLIFE,0.073446,9:20:00,534.0013,1168.988,643.6364,70697.02
24-04-2023,COROMANDEL,0.016374,9:20:00,944.4911,1876.43,459.7403,86923.09
24-04-2023,ICICIBANK,0.021848,9:25:00,898.3953,-663.75,632.1429,114247.2
24-04-2023,WIPRO,0.018883,9:25:00,371.0202,-2200,1539.13,114419
25-04-2023,INDUSINDBK,0.016289,9:20:00,1111.987,-2200,240.8163,53803.18
25-04-2023,BIOCON,0.02238,9:25:00,227.1011,-2200,2212.5,100690.9
26-04-2023,GNFC,0.039925,9:25:00,555.4005,-2200,357.5758,40502.61
27-04-2023,CUB,0.081081,9:20:00,137.1103,-2200,1311.111,36566.89
27-04-2023,SYNGENE,0.032351,9:20:00,641.0882,1002.508,361.2245,47255.39
27-04-2023,SBILIFE,0.018287,9:25:00,1128.382,-2200,680.7692,154037.7
28-04-2023,INDHOTEL,0.023529,9:25:00,344.3792,4699.666,722.449,49928.45
28-04-2023,WIPRO,0.014957,9:35:00,384.849,2336.244,1539.13,119082.5
02-05-2023,OFSS,0.017659,9:20:00,3590.775,-2200,135.1145,97408.1
02-05-2023,INDUSTOWER,0.019355,9:25:00,157.9363,3284.763,1311.111,41693.33
02-05-2023,RECLTD,0.013243,9:30:00,135.1935,-2200,2360,64050.4
02-05-2023,M&MFIN,0.012548,9:35:00,268.8907,-2200,1220.69,65953.86
03-05-2023,INDIGO,0.037535,9:20:00,2138.664,1218.79,62.10526,27127.58
03-05-2023,HINDPETRO,0.011272,9:30:00,257.3287,1721.641,2082.353,107345.3
04-05-2023,CHAMBLFERT,0.017186,9:20:00,296.2036,-2200,1264.286,75073.29
04-05-2023,ICICIPRULI,0.01104,9:30:00,435.4904,-2200,863.4146,75419.27
04-05-2023,CHOLAFIN,0.037728,9:35:00,953.8453,3106.728,264.1791,50886.18
05-05-2023,TVSMOTOR,0.017921,9:20:00,1203.664,2094.36,226.9231,55596.15
05-05-2023,GODREJPROP,0.015007,9:20:00,1332.792,-2200,242.4658,64820.79
05-05-2023,HAVELLS,0.014808,9:20:00,1259.742,-2200,368.75,93087.25
08-05-2023,MARICO,0.035251,9:20:00,517.0257,-2200,327.7778,34941.11
08-05-2023,AMARAJABAT,0.017604,9:25:00,623.1509,2242.374,380.6452,47904.19
08-05-2023,MANAPPURAM,0.020369,9:30:00,108.2043,-2200,1770,38497.5
08-05-2023,INDUSINDBK,0.012764,9:40:00,1120.283,12.66757,214.5455,48328.51
09-05-2023,BSOFT,0.039096,9:20:00,293.0425,-2200,863.4146,51148.68
09-05-2023,MGL,0.045418,9:30:00,1052.788,-2200,262.2222,55761.56
10-05-2023,INDUSINDBK,0.012625,9:20:00,1151.639,-2200,217.1779,50346.18
10-05-2023,AUBANK,0.01257,9:20:00,706.2871,4248.532,280.9524,39785.67
10-05-2023,MANAPPURAM,0.010363,9:20:00,116.1378,-2200,3218.182,74758.36
11-05-2023,GUJGASLTD,0.02625,9:25:00,477.506,-2200,655.5556,63405.33
11-05-2023,GODREJCP,0.02343,9:25:00,977.4037,-411.887,222.6415,43675.58
11-05-2023,ADANIENT,0.017361,9:25:00,1936.928,-2200,113.8264,44450.33
11-05-2023,RBLBANK,0.017287,9:30:00,151.8934,-2200,2723.077,82836
12-05-2023,INTELLECT,0.037736,9:20:00,480.6445,-2200,208.2353,20452.87
12-05-2023,INDIGO,0.021586,9:25:00,2264.911,5549.591,171.0145,77560.2
12-05-2023,EICHERMOT,0.033683,9:40:00,3610.735,-2200,171.8447,124680.2
15-05-2023,MANAPPURAM,0.022738,9:20:00,112.1088,5116.007,1609.091,36445.91
15-05-2023,DLF,0.016172,9:25:00,441.725,-2200,1361.538,121095.2
15-05-2023,TATAMOTORS,0.015312,9:35:00,529.0611,-2200,708,75048
16-05-2023,DLF,0.013991,9:20:00,471.2631,-2200,536.3636,50718.55
16-05-2023,ASTRAL,0.033435,9:35:00,1643.316,-2200,205.814,67848.63
16-05-2023,ONGC,0.016304,9:35:00,167.416,-2200,5900,197827
