Date,P/L,Amt,,
03-02-2015,22620.51,422620.51,,
04-02-2015,38760.57,461381.08,,
05-02-2015,1922.632,463303.712,,
06-02-2015,15473.67,478777.382,,
09-02-2015,-2300,476477.382,,
10-02-2015,14436.14,490913.522,,
11-02-2015,9344.345,500257.867,,
12-02-2015,-6900,493357.867,,
13-02-2015,-9200,484157.867,,
16-02-2015,2659.384,486817.251,,
18-02-2015,-6066.45,480750.801,,
19-02-2015,-4016.32,476734.481,,
20-02-2015,5100.296,481834.777,,
23-02-2015,21403.14,503237.917,,
25-02-2015,8354.395,511592.312,,
27-02-2015,-9200,502392.312,,
02-03-2015,-6585.61,495806.702,,
03-03-2015,-602.053,495204.649,,
04-03-2015,-9200,486004.649,,
05-03-2015,-4600,481404.649,,
09-03-2015,-2300,479104.649,,
10-03-2015,17906.56,497011.209,,
11-03-2015,-1343.53,495667.679,,
12-03-2015,-7636.75,488030.929,,
13-03-2015,50224.68,538255.609,,
16-03-2015,-9200,529055.609,,
17-03-2015,-6900,522155.609,,
18-03-2015,5396.644,527552.253,,
19-03-2015,18564.83,546117.083,,
20-03-2015,16725.28,562842.363,,
23-03-2015,-4600,558242.363,,
24-03-2015,1034.752,559277.115,,
25-03-2015,9696.532,568973.647,,
27-03-2015,18122.38,587096.027,,
30-03-2015,-6900,580196.027,,
31-03-2015,35127.81,615323.837,,
01-04-2015,-2300,613023.837,,
06-04-2015,8781.254,621805.091,,
07-04-2015,8319.529,630124.62,,
08-04-2015,-654.362,629470.258,,
09-04-2015,-6900,622570.258,,
10-04-2015,9252.302,631822.56,,
13-04-2015,17448.9,649271.46,,
15-04-2015,13173.76,662445.22,,
16-04-2015,12142.32,674587.54,,
17-04-2015,-2300,672287.54,,
20-04-2015,-4600,667687.54,,
21-04-2015,12154.74,679842.28,,
22-04-2015,-6900,672942.28,,
23-04-2015,25766.9,698709.18,,
24-04-2015,10434.61,709143.79,,
27-04-2015,-2300,706843.79,,
29-04-2015,-1773.18,705070.61,,
30-04-2015,-4600,700470.61,,
04-05-2015,3685.379,704155.989,,
05-05-2015,3610.27,707766.259,,
06-05-2015,3897.787,711664.046,,
07-05-2015,-4600,707064.046,,
08-05-2015,-4600,702464.046,,
11-05-2015,3146.067,705610.113,,
12-05-2015,3900.818,709510.931,,
13-05-2015,-6900,702610.931,,
14-05-2015,-2300,700310.931,,
15-05-2015,-9200,691110.931,,
18-05-2015,-4600,686510.931,,
19-05-2015,-4600,681910.931,,
20-05-2015,18210.52,700121.451,,
21-05-2015,1321.708,701443.159,,
22-05-2015,-6900,694543.159,,
25-05-2015,5945.496,700488.655,,
26-05-2015,-2300,698188.655,,
28-05-2015,2268.704,700457.359,,
29-05-2015,-6900,693557.359,,
01-06-2015,3093.404,696650.763,,
02-06-2015,-2300,694350.763,,
03-06-2015,15312.25,709663.013,,
04-06-2015,-4110.72,705552.293,,
05-06-2015,6181.497,711733.79,,
09-06-2015,-2300,709433.79,,
10-06-2015,4454.076,713887.866,,
11-06-2015,69170.47,783058.336,,
15-06-2015,-2642.14,780416.196,,
16-06-2015,-4639.22,775776.976,,
17-06-2015,-811.875,774965.101,,
18-06-2015,-6900,768065.101,,
19-06-2015,1067.948,769133.049,,
22-06-2015,-4981.35,764151.699,,
23-06-2015,-5041.71,759109.989,,
24-06-2015,28359.63,787469.619,,
25-06-2015,-4600,782869.619,,
26-06-2015,7160.672,790030.291,,
30-06-2015,2647.346,792677.637,,
01-07-2015,7623.324,800300.961,,
02-07-2015,929.0926,801230.0536,,
03-07-2015,7504.612,808734.6656,,
07-07-2015,-4600,804134.6656,,
08-07-2015,-453.92,803680.7456,,
09-07-2015,-6900,796780.7456,,
10-07-2015,-4600,792180.7456,,
13-07-2015,-6900,785280.7456,,
14-07-2015,-30.4068,785250.3388,,
15-07-2015,-4600,780650.3388,,
16-07-2015,10285.23,790935.5688,,
17-07-2015,-2300,788635.5688,,
20-07-2015,-1884.37,786751.1988,,
21-07-2015,-2300,784451.1988,,
22-07-2015,-4600,779851.1988,,
23-07-2015,-2317.52,777533.6788,,
24-07-2015,18578.95,796112.6288,,
27-07-2015,-4600,791512.6288,,
28-07-2015,18995.22,810507.8488,,
29-07-2015,-9200,801307.8488,,
30-07-2015,-2314.79,798993.0588,,
31-07-2015,-3108.49,795884.5688,,
03-08-2015,11673.93,807558.4988,,
04-08-2015,19387.62,826946.1188,,
05-08-2015,7264.677,834210.7958,,
06-08-2015,1856.238,836067.0338,,
07-08-2015,-5235.76,830831.2738,,
10-08-2015,3846.08,834677.3538,,
11-08-2015,11683.96,846361.3138,,
13-08-2015,13844.05,860205.3638,,
14-08-2015,-2886.38,857318.9838,,
17-08-2015,-4600,852718.9838,,
18-08-2015,44178.51,896897.4938,,
19-08-2015,14594.18,911491.6738,,
20-08-2015,20233.6,931725.2738,,
21-08-2015,-2300,929425.2738,,
25-08-2015,14520.18,943945.4538,,
26-08-2015,-4600,939345.4538,,
27-08-2015,-6900,932445.4538,,
28-08-2015,-9200,923245.4538,,
31-08-2015,6759.626,930005.0798,,
01-09-2015,14500.93,944506.0098,,
02-09-2015,1694.743,946200.7528,,
03-09-2015,-6900,939300.7528,,
04-09-2015,15679.29,954980.0428,,
07-09-2015,33094.22,988074.2628,,
08-09-2015,-6900,981174.2628,,
09-09-2015,-7342.5,973831.7628,,
11-09-2015,8843.03,982674.7928,,
14-09-2015,-4600,978074.7928,,
15-09-2015,6792.384,984867.1768,,
16-09-2015,-4600,980267.1768,,
18-09-2015,-6900,973367.1768,,
21-09-2015,-6900,966467.1768,,
22-09-2015,2041.456,968508.6328,,
24-09-2015,-2601.28,965907.3528,,
28-09-2015,-6900,959007.3528,,
30-09-2015,-3975.32,955032.0328,,
01-10-2015,3281.715,958313.7478,,
05-10-2015,-6900,951413.7478,,
06-10-2015,4084.126,955497.8738,,
07-10-2015,1304.096,956801.9698,,
08-10-2015,425.901,957227.8708,,
09-10-2015,12600.1,969827.9708,,
12-10-2015,-4600,965227.9708,,
13-10-2015,-2300,962927.9708,,
15-10-2015,-4183.46,958744.5108,,
16-10-2015,1026.119,959770.6298,,
19-10-2015,9216.627,968987.2568,,
20-10-2015,1299.47,970286.7268,,
21-10-2015,181.122,970467.8488,,
23-10-2015,8148.647,978616.4958,,
26-10-2015,-4600,974016.4958,,
29-10-2015,4517.077,978533.5728,,
30-10-2015,-1376.1,977157.4728,,
02-11-2015,-3267.32,973890.1528,,
03-11-2015,3021.268,976911.4208,,
04-11-2015,12041.37,988952.7908,,
06-11-2015,280.8214,989233.6122,,
13-11-2015,-4600,984633.6122,,
16-11-2015,-2300,982333.6122,,
17-11-2015,4393.388,986727.0002,,
19-11-2015,17877.47,1004604.47,,
20-11-2015,4811.471,1009415.941,,
23-11-2015,-158.171,1009257.77,,
24-11-2015,3166.724,1012424.494,,
26-11-2015,-6900,1005524.494,,
27-11-2015,2521.131,1008045.625,,
01-12-2015,-3300.26,1004745.365,,
02-12-2015,-1410.47,1003334.895,,
03-12-2015,19814.47,1023149.365,,
07-12-2015,-5332.41,1017816.955,,
08-12-2015,-2300,1015516.955,,
09-12-2015,-2300,1013216.955,,
10-12-2015,-4600,1008616.955,,
11-12-2015,21659.58,1030276.535,,
14-12-2015,-3205.56,1027070.975,,
15-12-2015,-483.693,1026587.282,,
16-12-2015,-616.058,1025971.224,,
17-12-2015,-492.397,1025478.827,,
21-12-2015,-6900,1018578.827,,
22-12-2015,-9200,1009378.827,,
23-12-2015,16902.05,1026280.877,,
24-12-2015,18399.86,1044680.737,,
29-12-2015,8432.518,1053113.255,,
30-12-2015,-2300,1050813.255,,
31-12-2015,-2300,1048513.255,,
05-01-2016,-1380.73,398619.27,,
06-01-2016,5198.488,403817.758,,
08-01-2016,-1349.78,402467.978,,
12-01-2016,-6900,395567.978,,
13-01-2016,-6900,388667.978,,
15-01-2016,63927.82,452595.798,,
19-01-2016,-2300,450295.798,,
20-01-2016,-2300,447995.798,,
21-01-2016,10101.73,458097.528,,
22-01-2016,-3402.54,454694.988,,
25-01-2016,-6900,447794.988,,
27-01-2016,4420.834,452215.822,,
29-01-2016,-9200,443015.822,,
01-02-2016,18316.06,461331.882,,
02-02-2016,48585.36,509917.242,,
04-02-2016,37801.11,547718.352,,
05-02-2016,-494.617,547223.735,,
08-02-2016,5907.389,553131.124,,
10-02-2016,24447.04,577578.164,,
11-02-2016,1987.508,579565.672,,
12-02-2016,-4600,574965.672,,
15-02-2016,-2671.03,572294.642,,
16-02-2016,9852.315,582146.957,,
17-02-2016,-4600,577546.957,,
18-02-2016,-6900,570646.957,,
22-02-2016,8180.834,578827.791,,
23-02-2016,9473.281,588301.072,,
25-02-2016,30909.86,619210.932,,
26-02-2016,-1744,617466.932,,
29-02-2016,11339.96,628806.892,,
01-03-2016,-4600,624206.892,,
02-03-2016,-6900,617306.892,,
03-03-2016,-6900,610406.892,,
04-03-2016,-4600,605806.892,,
08-03-2016,3971.183,609778.075,,
10-03-2016,21417.81,631195.885,,
11-03-2016,4829.23,636025.115,,
